Time (sec),AC Compressor Sw (on/off),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS In Left (°),Accel Position (%),Baro Pressure (psi),Battery Volts (V),Boost (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Calculated Load Ext (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),EGR Commanded (steps),Feedback Knock (°),Fine Knock Learn (°),Fuel Cut (cylinders),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (gear),Ign Comp IAT (°),Ignition Timing (°),Inj Duty Cycle (%),Inj PW (ms),Inj Timing H SOI (°),Intake Temp (F),Intake Temp Manifold (F),MAF Corr Final (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TD Integral (%),TD Proportional (%),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.5.0-25420][2021 USDM WRX MT COBB Custom Features Gen2][Reflash: Stage1 91 v400.ptm - Realtime: Stage1 91 v400.ptm]"
0.000,on,0.00,0.00,0.00,-0.78,14.51,0,0,0.0,14.50,14.08,-9.44,-9.44,14.73,0.30,0.31,15.11,198,0.875,0,0.00,0.00,0,2127,2176,1,0.0,3.00,0.74,0.685,174,133,149,6.72,1.24,5.06,187,1301,0.00,0.91,0.000,0.00,0.000,-8.53,7.1,4,0.00,0
0.064,on,0.00,0.00,0.00,-0.78,14.50,0,0,0.0,14.50,14.00,-9.45,-9.46,14.73,0.30,0.31,15.17,198,0.875,0,0.00,0.00,0,2120,2176,1,0.0,3.00,0.74,0.682,175,133,149,6.68,1.24,5.06,187,1299,0.00,0.93,0.000,0.00,0.000,-8.52,7.1,4,0.00,0
0.141,on,0.00,0.00,0.00,-0.78,14.50,0,0,0.0,14.50,14.08,-9.47,-9.47,14.73,0.30,0.31,15.17,198,0.875,0,0.00,0.00,0,2129,2176,1,0.0,3.50,0.73,0.675,175,133,149,6.66,1.22,5.04,187,1298,0.00,0.96,0.000,0.00,0.000,-8.52,7.1,4,0.00,0
0.235,on,0.00,0.00,0.00,-0.78,14.50,0,-1,0.0,14.50,13.84,-9.48,-9.48,14.73,0.30,0.31,15.17,198,0.875,0,0.00,0.00,0,2109,2176,1,0.0,3.50,0.73,0.678,175,133,149,6.63,1.24,5.02,187,1294,0.00,0.98,0.000,0.00,0.000,-8.50,7.1,4,0.00,0
0.302,on,0.00,0.00,0.00,-0.78,14.50,0,-1,0.0,14.50,13.76,-9.48,-9.49,14.73,0.30,0.31,15.17,198,0.875,0,0.00,0.00,0,2107,2176,1,0.0,3.50,0.73,0.675,174,133,149,6.61,1.24,5.02,187,1292,0.00,1.00,0.000,0.00,0.000,-8.49,7.1,4,0.00,0
0.380,on,-0.78,0.00,0.00,-0.78,14.46,0,-1,0.0,14.50,14.08,-9.49,-9.50,14.73,0.30,0.31,15.17,198,0.875,0,0.00,0.00,0,2115,2176,1,0.0,4.00,0.72,0.675,174,133,149,6.57,1.24,5.01,187,1285,0.00,1.03,0.000,0.00,0.000,-8.46,7.1,4,0.00,0
0.449,on,-0.78,0.00,0.00,-0.78,14.48,0,-1,0.0,14.50,14.00,-9.50,-9.50,14.70,0.30,0.31,15.11,198,0.875,0,0.00,0.00,0,2134,2176,1,0.0,4.50,0.71,0.669,174,133,149,6.54,1.24,5.01,187,1278,0.00,1.07,0.000,0.00,0.000,-8.44,7.1,4,0.00,0
0.526,on,-0.78,0.00,0.00,-0.78,14.48,0,-1,0.0,14.50,14.08,-9.50,-9.51,14.70,0.30,0.31,15.11,198,0.875,0,0.00,0.00,0,2124,2176,1,0.0,4.50,0.72,0.678,174,133,149,6.54,1.22,5.00,187,1276,0.00,1.08,0.000,0.00,0.000,-8.43,7.1,4,0.00,0
0.611,on,-0.78,0.00,0.00,-0.78,14.48,0,-1,0.0,14.50,13.92,-9.50,-9.51,14.70,0.30,0.31,15.11,198,0.875,0,0.00,0.00,0,2104,2176,1,0.0,5.00,0.72,0.675,174,133,149,6.55,1.24,5.01,187,1275,0.00,1.08,0.000,0.00,0.000,-8.42,7.1,4,0.00,0
0.679,on,-0.78,0.00,0.00,-0.78,14.46,0,-1,0.0,14.50,14.00,-9.49,-9.51,14.70,0.30,0.31,15.11,198,0.875,0,0.00,0.00,0,2119,2176,1,0.0,5.00,0.71,0.669,174,133,149,6.55,1.24,5.01,187,1273,0.00,1.10,0.000,0.00,0.000,-8.42,7.1,4,0.00,0
0.794,on,-0.78,0.00,0.00,-0.78,14.50,0,-2,0.0,14.50,14.08,-9.50,-9.51,14.70,0.30,0.31,15.11,198,0.875,0,0.00,0.00,0,2107,2176,1,0.0,5.00,0.71,0.669,174,133,149,6.53,1.24,5.01,187,1272,0.00,1.09,0.000,0.00,0.000,-8.42,6.7,3,0.00,0
0.840,on,-0.78,0.00,0.00,-0.78,14.48,0,-2,0.0,14.50,14.00,-9.52,-9.52,14.73,0.30,0.31,15.17,198,0.875,0,0.00,0.00,0,2116,2176,1,0.0,5.00,0.71,0.672,174,133,149,6.50,1.22,4.99,187,1271,0.00,1.11,0.000,0.00,0.000,-8.41,6.7,3,0.00,0
0.931,on,-0.78,0.00,0.00,-0.78,14.48,0,-2,0.0,14.50,14.08,-9.52,-9.52,14.73,0.30,0.31,15.17,198,0.875,0,0.00,0.00,0,2136,2176,1,0.0,5.50,0.71,0.666,174,133,149,6.49,1.22,4.98,187,1272,0.00,1.10,0.000,0.00,0.000,-8.41,6.7,3,0.00,0
0.988,on,-0.78,0.00,0.00,-0.78,14.46,0,-2,0.0,14.50,13.92,-9.52,-9.54,14.73,0.30,0.30,15.17,198,0.875,0,0.00,0.00,0,2122,2176,1,0.0,5.00,0.71,0.666,174,133,149,6.49,1.22,4.99,187,1274,0.00,1.11,0.000,0.00,0.000,-8.42,6.7,3,0.00,0
1.070,on,-1.56,0.00,0.00,-0.78,14.47,0,-2,0.0,14.50,14.00,-9.53,-9.55,14.73,0.30,0.30,15.17,198,0.875,0,0.00,0.00,0,2118,2176,1,0.0,5.00,0.70,0.659,174,133,149,6.47,1.22,4.97,187,1272,0.00,1.14,0.000,0.00,0.000,-8.42,6.7,3,0.00,0
1.140,on,-1.56,0.00,0.00,-0.78,14.47,0,-2,0.0,14.50,14.00,-9.55,-9.56,14.73,0.30,0.31,15.17,198,0.875,0,0.00,0.00,0,2147,2176,0,0.0,5.50,0.70,0.659,174,133,149,6.44,1.22,4.95,187,1268,0.00,1.14,0.000,0.00,0.000,-8.41,6.7,2,0.00,0
1.218,on,-1.56,0.00,0.00,-0.78,14.50,0,-2,0.0,14.50,14.08,-9.56,-9.56,14.73,0.30,0.30,15.17,198,0.875,0,0.00,0.00,0,2118,2176,0,0.0,5.50,0.71,0.669,173,133,151,6.41,1.22,4.95,187,1265,0.00,1.18,0.000,0.00,0.000,-8.39,6.7,2,0.00,0
1.333,on,-1.56,0.00,0.00,-0.78,14.48,0,-2,0.0,14.50,14.00,-9.55,-9.57,14.73,0.30,0.30,15.17,198,0.875,0,0.00,0.00,0,2123,2176,0,0.0,5.50,0.70,0.662,173,133,151,6.40,1.22,4.95,187,1263,0.00,1.19,0.000,0.00,0.000,-8.38,6.7,2,0.00,0
1.378,on,-1.56,0.00,0.00,-0.78,14.50,0,-1,0.0,14.50,14.08,-9.55,-9.58,14.73,0.30,0.30,15.17,198,0.875,0,0.00,0.00,0,2101,2176,0,0.0,5.50,0.70,0.666,173,133,151,6.36,1.22,4.95,187,1256,0.00,1.22,0.000,0.00,0.000,-8.35,6.7,2,0.00,0
1.457,on,-1.56,0.00,0.00,-0.78,14.48,0,-1,0.0,14.50,14.00,-9.52,-9.56,14.73,0.30,0.30,15.17,198,0.875,0,0.00,0.00,0,2125,2176,0,0.0,6.00,0.69,0.662,173,133,151,6.37,1.22,4.98,187,1255,0.00,1.22,0.000,0.00,0.000,-8.35,6.7,2,0.00,0
1.521,on,-1.56,0.00,0.00,-0.78,14.50,0,-1,0.0,14.50,13.92,-9.53,-9.54,14.73,0.30,0.30,15.17,198,0.875,0,0.00,0.00,0,2131,2176,0,0.0,6.00,0.69,0.662,173,133,151,6.38,1.22,4.98,187,1255,0.00,1.20,0.000,0.00,0.000,-8.35,6.7,2,0.00,0
1.602,on,-1.56,0.00,0.00,-0.78,14.51,0,0,0.0,14.50,14.00,-9.51,-9.53,14.73,0.30,0.30,15.17,198,0.875,0,0.00,0.00,0,2133,2176,0,0.0,6.00,0.69,0.662,173,133,151,6.37,1.22,4.99,187,1255,0.00,1.20,0.000,0.00,0.000,-8.35,6.7,2,0.00,0
1.666,on,-1.56,0.00,0.00,-0.78,14.52,0,0,0.0,14.50,13.76,-9.51,-9.53,14.73,0.30,0.30,15.17,198,0.875,0,0.00,0.00,0,2118,2176,0,0.0,6.00,0.68,0.653,173,133,151,6.34,1.22,4.99,187,1254,0.00,1.18,0.000,0.00,0.000,-8.35,6.7,2,0.00,0
1.735,on,-1.56,0.00,0.00,-0.78,14.52,0,0,0.0,14.50,14.08,-9.53,-9.54,14.73,0.30,0.30,15.17,198,0.875,0,0.00,0.00,0,2114,2176,0,0.0,6.00,0.68,0.656,172,133,151,6.32,1.22,4.97,187,1253,0.00,1.20,0.000,0.00,0.000,-8.34,6.7,2,0.00,0
1.810,on,-1.56,0.00,0.00,-0.78,14.54,0,0,0.0,14.50,13.92,-9.54,-9.56,14.73,0.30,0.30,15.17,198,0.875,0,0.00,0.00,0,2134,2176,0,0.0,6.00,0.68,0.656,172,133,151,6.29,1.22,4.96,187,1251,0.00,1.23,0.000,0.00,0.000,-8.33,6.7,2,0.00,0
1.874,on,-1.56,0.00,0.00,-0.78,14.52,0,0,0.0,14.50,13.84,-9.57,-9.58,14.73,0.30,0.30,15.17,198,0.875,0,0.00,0.00,0,2141,2176,0,0.0,6.00,0.68,0.653,172,133,151,6.28,1.22,4.94,187,1251,0.00,1.24,0.000,0.00,0.000,-8.33,6.7,2,0.00,0
1.930,on,-1.56,0.00,0.00,-0.78,14.53,0,0,3.5,14.50,14.00,-9.57,-9.57,14.73,0.30,0.30,15.24,198,0.875,0,0.00,0.00,0,2083,1160,0,0.0,6.00,0.69,0.659,172,133,151,6.27,1.22,4.94,187,1248,28.34,2.49,0.000,0.00,0.000,-7.09,7.5,2,0.00,0
1.988,on,-1.56,0.00,0.00,-0.78,14.55,0,0,8.6,14.50,14.00,-9.43,-9.46,14.70,0.31,0.32,15.11,198,0.875,0,0.00,0.00,0,2045,504,0,0.0,21.00,0.69,0.659,172,133,151,6.72,1.34,5.08,187,1250,77.76,5.69,0.000,0.00,0.000,-3.79,11.8,2,0.00,0
2.068,on,-1.56,0.00,0.00,-0.78,14.55,0,0,9.0,14.50,14.08,-8.05,-8.74,14.70,0.40,0.41,15.05,198,0.875,0,0.00,0.00,0,1952,650,0,0.0,21.00,0.79,0.755,173,133,151,8.65,1.58,6.46,187,1258,84.78,5.64,0.000,0.00,0.000,-3.10,12.6,2,0.00,0
2.133,on,-1.56,0.00,0.00,-0.78,14.56,0,-1,10.6,14.50,14.00,-7.29,-7.77,14.70,0.47,0.48,14.82,198,0.875,3,0.00,0.00,0,1852,823,0,0.0,15.50,1.04,0.970,174,133,151,10.51,1.68,7.21,187,1287,97.88,5.59,0.000,0.00,0.000,-2.37,13.8,2,0.00,0
2.198,on,-1.56,0.00,0.00,-0.78,14.57,0,-3,10.2,14.50,14.00,-5.81,-6.80,14.70,0.53,0.53,14.70,198,0.875,5,0.00,0.00,0,1747,1022,0,-0.5,11.00,1.29,1.162,176,133,151,12.08,1.80,8.70,187,1330,96.95,4.62,0.000,0.00,0.000,-2.42,15.0,2,0.00,0
2.258,on,-1.56,0.00,0.00,-0.78,14.61,0,-5,7.1,14.50,14.00,-5.29,-5.79,14.70,0.57,0.57,14.70,198,0.875,7,0.00,0.00,0,1604,1115,0,-2.0,9.50,1.38,1.162,180,133,151,13.64,1.82,9.22,187,1425,68.60,1.36,0.000,0.00,0.000,-4.44,14.2,2,0.00,0
2.335,on,-1.56,0.00,0.00,-0.78,14.67,1,-7,3.1,14.50,14.08,-5.25,-5.46,14.70,0.54,0.55,14.70,198,0.875,9,0.00,0.00,0,1483,1022,0,-1.0,8.00,1.59,1.274,184,133,151,13.73,1.58,9.25,187,1498,27.60,-1.71,0.000,0.00,0.000,-7.16,9.1,2,0.00,0
2.402,on,-1.56,0.00,0.00,-0.78,14.82,2,-9,3.9,14.50,13.84,-6.05,-5.84,14.70,0.49,0.49,14.70,198,0.875,9,0.00,0.00,0,1342,916,0,0.0,13.50,1.56,1.200,186,133,151,12.80,1.38,8.45,187,1562,27.10,-1.81,0.000,0.00,0.000,-7.64,8.3,2,0.00,0
2.484,on,-0.78,0.00,0.00,-0.78,14.90,3,-10,5.9,14.50,13.84,-6.51,-6.29,14.70,0.45,0.46,14.76,198,0.875,9,0.00,0.00,0,1224,823,0,0.0,15.50,1.52,1.158,187,133,151,11.98,1.36,7.99,187,1570,40.55,-0.67,0.000,0.00,0.000,-6.89,10.2,2,0.00,0
2.544,on,-0.78,0.00,0.00,-0.78,14.99,4,-10,6.7,14.50,13.92,-6.54,-6.47,14.70,0.45,0.45,14.76,198,0.875,9,0.00,0.00,0,1125,823,0,0.0,17.00,1.59,1.229,186,133,151,11.70,1.48,7.96,187,1549,54.04,0.67,0.000,0.00,0.000,-5.80,11.4,2,0.00,0
2.624,on,0.00,0.00,0.00,-0.78,15.04,4,-11,6.7,14.50,13.92,-6.15,-6.27,14.70,0.47,0.47,14.76,198,0.875,9,0.00,0.00,0,1034,823,0,0.0,16.50,1.68,1.334,185,133,151,11.74,1.60,8.36,187,1508,52.35,0.55,0.000,0.00,0.000,-5.77,11.4,2,0.00,0
2.684,on,0.00,0.00,0.00,-0.78,15.02,5,-13,5.9,14.50,13.92,-5.91,-6.04,14.70,0.45,0.46,14.76,198,0.875,9,0.00,0.00,0,987,823,0,0.0,18.50,1.61,1.309,183,133,151,11.33,1.56,8.59,187,1472,43.88,-0.22,0.000,0.00,0.000,-6.26,11.0,3,0.00,0
2.749,on,0.00,0.00,0.00,-0.78,14.90,5,-15,5.5,14.50,14.08,-5.87,-5.93,14.70,0.45,0.45,14.82,198,0.875,6,0.00,0.00,0,952,823,0,0.0,18.50,1.47,1.251,180,133,151,10.67,1.50,8.63,187,1412,39.54,-0.45,0.000,0.00,0.000,-6.40,9.8,3,0.00,0
2.829,on,0.00,0.00,0.00,-0.78,14.74,5,-15,5.9,14.50,13.92,-6.08,-6.02,14.70,0.44,0.44,14.82,198,0.875,6,0.00,0.00,0,923,730,0,0.0,18.50,1.40,1.251,177,133,151,9.93,1.46,8.43,187,1344,40.60,-0.12,0.000,0.00,0.000,-6.14,9.8,3,0.00,0
